,class,class_abrv,class_number,review_content,review_month,review_year,student_gpa,student_grade,student_major,student_rank,student_standing,teacher_difficulties,teacher_field,teacher_name,teacher_presentaion,teacher_rating
0,MATH 118,MATH,118,"Okay, Van eps is a little on the boring side, but he tries really hard to do a good job. His problem is that he explains things once and you totally understand, then he keeps on explaining the same thing over and over again so that by the time he is done you are totally lost. Go into office hours with your questions because IT WILL TOTALLY HELP YOU! Things are a little confusing in class, but one on one he can explain things SO well. I think it's because he gets nervouse speaking infront of the class. He is really nice though and I would recomend the class.",Oct,2001,4.0,A,General Ed,0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
1,MATH 141,MATH,141,"While not a professor you would take on basis of his personality, Professor Van Eps does a good job of explaining the material at hand and takes time to hear the problems that students are having.  As long as you can stay awake through a lecture, I would recommend this professor.",Aug,2001,,N/A,Required (Major),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
2,MATH 141,MATH,141,Teaching system fair for everyone.  Has a system where if your final is higher than every other grade on a test he just takes your final and adds it to your homework grade and that is what you get in the class.  ,Aug,2001,3.0,B,Required (Major),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
3,MATH 141,MATH,141,"Professor VanEps makes everything seem easy, but you don't learn much in his class though.   I would recommend you take VanEps if you want a easy quarter because he's the guy if you want to boost up your gpa...but he ain't that easy though.  by the way, his test is like ""half luck & half skill"".  However it kinda hard to screw up in his class because of his generous gradin system.....  ",Aug,2001,4.0,A,Required (Major),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
4,MATH 141,MATH,141,"This teacher assumed prior knowledge on calculus and never taught to those who had never had calculus in high school.  He did give 100 pts for homework, but he was the worst teacher I ever had.  If you already took the AP Calc test then I would recommend this class for you, if not then good luck!",Feb,2000,3.0,B,General Ed,1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
5,MATH 141,MATH,141,"Prof. Van Eps is a decent teacher.  He gets rather boring, but he can explain the subject pretty well. His tests are pretty straight forward also.  If you do the homework they can easily be aced.  And the homework is not too much.  His grading policy is pretty awesome too.",Nov,2000,3.0,B,General Ed,0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
6,MATH 141,MATH,141,"This class was review for me, so I don't know how well I would have learned new material from Prof. van Eps. He would walk into the room and jump straight into ""lecture"" with ""soo...any questions?"" After a few days of this, I began to skip most of his classes, sometimes showing up for one day a week and eventually going for two weeks without attending a class. Somehow, even though I missed a couple of homeworks along the way, I pulled out an A-.",Dec,2000,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
7,MATH 141,MATH,141,"Yes, I failed the class, but I would definately say professor Van Eps had nothing to do with it. He began the quarter by just walking in the room and starting his lecture and scratching jargon on the chalkboard. Once we finally asked him to go over homework and concepts, the class became much better for everyone. If you aren't a good tester like me, beware. His tests may not be hard, but there are only two midterms (no quizzes) with each having four questions and a final with seven questions. ",Jan,2001,0.0,F,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
8,MATH 141,MATH,141,"Dr. van eps is the most unavailable teacher i have ever seen.  He does not help the students at all, he simply gives his lecture and leaves.  His test are strange, one questoin will be really easy, and then the next will be impossible.  Cheek your tests after you get them back because on my 2 midterms i was marked down a total 55% (from a 67%-87% and from a 55%-90%)",Jan,2001,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
9,MATH 141,MATH,141,"He loves to say Intuitive.  By the end of his class he'll have you thinking in Liebnitz terms.  Not a social butterfly, but a real laid back cat who knows math in a serious way.  ",Jan,2001,4.0,A,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
10,MATH 141,MATH,141,"I think this teacher is great. He explains the material really well, and he is pretty easy. His grading policy is extremely easy, and I passed without going to half the classes. I don't suggest doing that, but I still passed. He drops any test grades you got that were less than your final test grade, and his final is easy compared to some other teachers. He assigns homework every night, but it is due every Monday. His class is a little boring, but it was worth taking.",Apr,2001,2.0,C,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
11,MATH 141,MATH,141,although its boring he never gives quizes. the hw is collected once a week. I got a 64 on the first mid term a 76 on the second and a B on the final and got a B in the class. the hw is do or don't do credit.,Nov,2001,3.0,B,General Ed,0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
12,MATH 141,MATH,141,Vaneps is a great teacher. He explains his problems everyday in class. He doesn't care if you show up to class or not. just practice the hw problems and make sure you can do all of them. his tests are pretty much the hw problems with different numbers. great teacher.,Dec,2001,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
13,MATH 141,MATH,141,"If you've taken calculus before then this class should be really easy. He does a decent job of explaining the material. This teacher grades very generously. You could b.s. your homework and still get full credit for it because he grades you on how many assignments you turn in. His midterms are not very hard either. I'd say they're like medium difficulty problems in the book. His final is a little more difficult, so do a good review of everything. He also helps you out during office hours and explains the lecture material even better.",Dec,2001,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
14,MATH 141,MATH,141,"Van Eps is an awesome teacher. I only went to class half of the time and did about 20 minutes of homework a week and still managed to pull off an A because turning in a paper with your name on it means full credit on the homework. And I don't think the J in J. Van Eps should go without notice. That J is for Jay or joint. I know this guy goes home and takes massive bong hits every day. He must smoke dank, all quarter I wanted to smoke with him but never had the courage to ask...oh well. Take him for calc and get an easy A in a class you never have to go to. Maybe you will get the chance to smoke with him that I did not....",Feb,2002,4.0,A,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
15,MATH 141,MATH,141,This guy is very laid back.   His tests are pretty much like the homework but it is composed a few problems where each is worth a lot.   The class is pretty confusing if you have never taken calc before because he just goes over the new section and expects you to know the basics. He doesnt care if you are in class...so you can miss as many fridays as you want.   Really nice and easy to talk to....he is just to smart for his own good.  ,Jun,2002,2.0,C,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
